laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CPU_Benchmark,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros
1090,Lenovo,IdeaPad 300-17ISK,Notebook,17.3,1600x900,Intel Core i5 6200U 2.3GHz,3008,8GB,1.0TB HDD,39.99,AMD FirePro W4190M,3.6,Windows 7,1.9kg,1495
1218,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,499
623,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,650
848,Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB HDD,15.99,AMD Radeon 520,3.7,Linux,2.14kg,735.07
491,Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,970.9
1127,Lenovo,V110-15ISK (i3-6006U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,919
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1085
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.4kg,931.88
180,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,985
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,2273,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Linux,2.8kg,1099
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.33kg,844
423,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,899
530,HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1085
548,Dell,Vostro 5468,Notebook,14,Full HD 1920x1080,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,1142.4
557,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,749
677,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,759
673,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1GHz,2625,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.36kg,979
482,Dell,Latitude E5470,Notebook,14,1366x768,Intel Core i3 6100U 2.3GHz,2625,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.9kg,663
1116,Dell,Latitude E5270,Ultrabook,12.5,1366x768,Intel Core i3 6100U 2.3GHz,2625,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,776
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1142
774,Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,1219.24
781,Toshiba,Tecra A40-C-1E5,Notebook,14,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Linux,2.8kg,889
948,Toshiba,Tecra Z40-C-12X,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,797.41
995,Toshiba,Portege Z30-C-1CV,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.91kg,568.9
1018,Toshiba,Portege Z30-C-16H,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.95kg,649
1109,HP,Elitebook 820,Netbook,12.5,1366x768,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,949
1278,Lenovo,Yoga 500-14IBD,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,3008,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,1135
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.4kg,818.35
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,529
187,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,597.57
479,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,2789,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,719
1288,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,745
1302,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,689
1316,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,399
305,Asus,VivoBook S14,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,2716,4GB,128GB SSD,18.99,AMD Radeon 540,4.5,Windows 10,1.71kg,1799
552,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,2716,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,1.65kg,199
589,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,2716,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10 S,1.65kg,277.99
568,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,2972,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,2.1kg,349
517,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon R2,1.5,No OS,1.86kg,258
634,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,2.1kg,330
786,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,2716,4GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2kg,349
838,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,2716,8GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2.2kg,299
806,Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2.2kg,349
830,Toshiba,Tecra X40-D-10Z,Ultrabook,14,1366x768,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,1.86kg,297
853,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon R3,2,Windows 10,2.8kg,379
866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.8kg,519
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.19kg,298
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.1kg,398
1016,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,2716,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,No OS,2.2kg,309
901,HP,Probook 640,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.86kg,398.49
928,Lenovo,ThinkPad 13,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.86kg,369
1003,Dell,Latitude 5480,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,3397,8GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.91kg,445.9
1005,HP,15-bs005nv (i3-6006U/4GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,2273,4GB,128GB SSD + 1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.6kg,520.9
