laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros,cpu_match,benchmark,single_thread,match_score
1090,Lenovo,IdeaPad 300-17ISK,Notebook,17.3,1600x900,Intel Core i5 6200U 2.3GHz,8GB,1.0TB HDD,39.99,AMD FirePro W4190M,3.6,Windows 7,1.9kg,1495,Intel Core i7-6500U @ 2.50GHz,3276,1708,95
1176,Lenovo,B51-80 (i5-6200U/8GB/1008GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,1.0TB Hybrid,,AMD FirePro W4190M ,3.6,Windows 10,1.9kg,1269,Intel Core i7-7500U @ 2.70GHz,3651,1950,95
1276,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,1.0TB Hybrid,,AMD FirePro W4190M ,3.6,Windows 10,1.9kg,1154,Intel Core i5-7200U @ 2.50GHz,3414,1782,95
1150,Lenovo,IdeaPad 500-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,1.0TB Hybrid,,AMD FirePro W5130M,6,Windows 10,2.23kg,1369,Intel Core i5-6440HQ @ 2.60GHz,5151,2015,95
1284,HP,Pavilion 15-AW003nv,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,6GB,1.0TB Hybrid,,AMD FirePro W6150M,13,Windows 7,3.0kg,2899,Intel Core i7-6700HQ @ 2.60GHz,6542,1918,95
1298,HP,Pavilion 15-AW003nv,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,6GB,1.0TB Hybrid,,AMD R17M-M1-70,,Windows 10,1.90kg,813,Intel Core i5-7200U @ 2.50GHz,3414,1782,95
1312,HP,Pavilion 15-AW003nv,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,6GB,1.0TB Hybrid,,AMD R4 Graphics,2.2,Windows 10,2.2kg,399,AMD EPYC 7763,88338,2635,86
1194,Lenovo,B51-80 (i7-6500U/4GB/1008GB/FHD/W7),Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,1.0TB Hybrid,,AMD Radeon 520,3.7,Windows 10,2.13kg,767.8,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
154,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1.0TB Hybrid,,AMD Radeon 520,3.7,Windows 10,1.86kg,438.69,Intel Core i3-6006U @ 2.00GHz,2275,1168,91
1024,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1.0TB Hybrid,,AMD Radeon 520,3.7,Linux,2.2kg,647,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
324,Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,10,AMD Radeon 520,3.7,Windows 10,1.91kg,619,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
616,Acer,Swift SF114-31-P5HY,Notebook,14,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,10,AMD Radeon 520,3.7,Windows 10,2.13kg,728,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
2,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,10,AMD Radeon 520,3.7,Windows 10,2.71kg,699,Intel Core i5-7200U @ 2.50GHz,3414,1782,95
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,10,AMD Radeon 520,3.7,Linux,2.2kg,677.35,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
848,Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB HDD,15.99,AMD Radeon 520,3.7,Linux,2.14kg,735.07,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,1.91kg,499,AMD EPYC 7763,88338,2635,86
565,HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,469,Intel Core i3-6006U @ 2.00GHz,2275,1168,91
